Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Using GPU
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.384247	Val Loss: 2.351829	Val Acc: 8
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 2.359640	Val Loss: 2.357352	Val Acc: 9
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.366388	Val Loss: 2.338095	Val Acc: 11
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 2.361269	Val Loss: 2.344125	Val Acc: 10
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.360889	Val Loss: 2.344986	Val Acc: 10
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 2.337711	Val Loss: 2.334608	Val Acc: 10
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 2.329344	Val Loss: 2.337908	Val Acc: 10
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 2.329388	Val Loss: 2.333395	Val Acc: 11
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.324584	Val Loss: 2.330920	Val Acc: 11
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 2.331501	Val Loss: 2.327621	Val Acc: 11
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 2.343170	Val Loss: 2.321377	Val Acc: 12
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 2.316857	Val Loss: 2.320102	Val Acc: 12
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.361283	Val Loss: 2.326566	Val Acc: 11
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 2.326511	Val Loss: 2.317273	Val Acc: 12
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 2.289626	Val Loss: 2.317848	Val Acc: 12
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 2.311028	Val Loss: 2.320955	Val Acc: 11
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.290253	Val Loss: 2.322758	Val Acc: 11
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 2.310447	Val Loss: 2.315133	Val Acc: 12
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 2.341176	Val Loss: 2.314309	Val Acc: 12
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 2.306255	Val Loss: 2.301358	Val Acc: 13
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.279241	Val Loss: 2.318000	Val Acc: 12
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 2.265091	Val Loss: 2.305423	Val Acc: 14
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 2.314213	Val Loss: 2.299495	Val Acc: 14
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 2.325089	Val Loss: 2.295827	Val Acc: 14
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 2.293863	Val Loss: 2.296769	Val Acc: 14
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 2.304323	Val Loss: 2.279368	Val Acc: 16
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 2.267233	Val Loss: 2.280170	Val Acc: 16
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 2.298452	Val Loss: 2.301637	Val Acc: 14
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.306430	Val Loss: 2.288589	Val Acc: 15
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 2.311111	Val Loss: 2.282303	Val Acc: 16
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 2.317142	Val Loss: 2.290623	Val Acc: 14
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 2.260503	Val Loss: 2.281817	Val Acc: 16
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 2.284052	Val Loss: 2.272731	Val Acc: 17
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 2.258601	Val Loss: 2.266518	Val Acc: 19
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 2.269793	Val Loss: 2.260711	Val Acc: 19
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 2.259589	Val Loss: 2.252394	Val Acc: 20
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.265649	Val Loss: 2.258289	Val Acc: 19
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 2.288079	Val Loss: 2.264835	Val Acc: 18
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 2.249441	Val Loss: 2.245933	Val Acc: 20
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.272399	Val Loss: 2.252035	Val Acc: 19
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 2.303812	Val Loss: 2.237103	Val Acc: 20
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 2.216331	Val Loss: 2.250651	Val Acc: 19
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 2.191372	Val Loss: 2.238328	Val Acc: 21
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 2.230377	Val Loss: 2.230859	Val Acc: 21
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: 2.258255	Val Loss: 2.234140	Val Acc: 21
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 2.174937	Val Loss: 2.211701	Val Acc: 24
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: 2.268524	Val Loss: 2.222993	Val Acc: 22
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 2.220134	Val Loss: 2.224540	Val Acc: 22
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: 2.249992	Val Loss: 2.212555	Val Acc: 23
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 2.242813	Val Loss: 2.221774	Val Acc: 22
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 2.206725	Val Loss: 2.191649	Val Acc: 27
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 2.233084	Val Loss: 2.210711	Val Acc: 24
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 2.200484	Val Loss: 2.198572	Val Acc: 25
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 2.186722	Val Loss: 2.189430	Val Acc: 26
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 2.227153	Val Loss: 2.188217	Val Acc: 26
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 2.182947	Val Loss: 2.189047	Val Acc: 26
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 2.204054	Val Loss: 2.175976	Val Acc: 27
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 2.179568	Val Loss: 2.173969	Val Acc: 28
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 2.167314	Val Loss: 2.199790	Val Acc: 25
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 2.209813	Val Loss: 2.200660	Val Acc: 25
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 2.196834	Val Loss: 2.189818	Val Acc: 25
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 2.165947	Val Loss: 2.178351	Val Acc: 27
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 2.206798	Val Loss: 2.186104	Val Acc: 26
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 2.101939	Val Loss: 2.188332	Val Acc: 26
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 2.240116	Val Loss: 2.173920	Val Acc: 27
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 2.161824	Val Loss: 2.172355	Val Acc: 27
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 2.202744	Val Loss: 2.178761	Val Acc: 27
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 2.114702	Val Loss: 2.183989	Val Acc: 26
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 2.100720	Val Loss: 2.178421	Val Acc: 27
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 2.205830	Val Loss: 2.173458	Val Acc: 28
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 2.135968	Val Loss: 2.158705	Val Acc: 29
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 2.202331	Val Loss: 2.166784	Val Acc: 29
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 2.189143	Val Loss: 2.178631	Val Acc: 27
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 2.144379	Val Loss: 2.184018	Val Acc: 26
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 2.152318	Val Loss: 2.176084	Val Acc: 27
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 2.183525	Val Loss: 2.177965	Val Acc: 26
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 2.183347	Val Loss: 2.162536	Val Acc: 28
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 2.215620	Val Loss: 2.137661	Val Acc: 31
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 2.189841	Val Loss: 2.162869	Val Acc: 28
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 2.170374	Val Loss: 2.154937	Val Acc: 29
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 2.183927	Val Loss: 2.162217	Val Acc: 29
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 2.057064	Val Loss: 2.167460	Val Acc: 27
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 2.174155	Val Loss: 2.153145	Val Acc: 29
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 2.188433	Val Loss: 2.165768	Val Acc: 28
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 2.149806	Val Loss: 2.145033	Val Acc: 31
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 2.220763	Val Loss: 2.144967	Val Acc: 30
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 2.168408	Val Loss: 2.120720	Val Acc: 33
Train Epoch: 3 [11520/49000 (23%)]	Train Loss: 2.167662	Val Loss: 2.162611	Val Acc: 29
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 2.139140	Val Loss: 2.151889	Val Acc: 30
Train Epoch: 3 [14080/49000 (29%)]	Train Loss: 2.183620	Val Loss: 2.150093	Val Acc: 30
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 2.183533	Val Loss: 2.138587	Val Acc: 31
Train Epoch: 3 [16640/49000 (34%)]	Train Loss: 2.145200	Val Loss: 2.153699	Val Acc: 29
Train Epoch: 3 [17920/49000 (37%)]	Train Loss: 2.139353	Val Loss: 2.147894	Val Acc: 31
Train Epoch: 3 [19200/49000 (39%)]	Train Loss: 2.197041	Val Loss: 2.133901	Val Acc: 32
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 2.127494	Val Loss: 2.136012	Val Acc: 32
Train Epoch: 3 [21760/49000 (44%)]	Train Loss: 2.129499	Val Loss: 2.136095	Val Acc: 32
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 2.153975	Val Loss: 2.148627	Val Acc: 30
Train Epoch: 3 [24320/49000 (50%)]	Train Loss: 2.219237	Val Loss: 2.146271	Val Acc: 30
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 2.107303	Val Loss: 2.135327	Val Acc: 31
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: 2.106151	Val Loss: 2.155567	Val Acc: 30
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 2.165145	Val Loss: 2.143331	Val Acc: 31
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: 2.154011	Val Loss: 2.144550	Val Acc: 31
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: 2.137268	Val Loss: 2.158545	Val Acc: 29
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 2.178709	Val Loss: 2.124836	Val Acc: 33
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 2.183142	Val Loss: 2.144740	Val Acc: 30
Train Epoch: 3 [34560/49000 (70%)]	Train Loss: 2.209263	Val Loss: 2.139763	Val Acc: 32
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 2.166805	Val Loss: 2.158807	Val Acc: 29
Train Epoch: 3 [37120/49000 (76%)]	Train Loss: 2.206088	Val Loss: 2.148081	Val Acc: 31
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 2.157010	Val Loss: 2.146916	Val Acc: 30
Train Epoch: 3 [39680/49000 (81%)]	Train Loss: 2.142533	Val Loss: 2.130315	Val Acc: 32
Train Epoch: 3 [40960/49000 (84%)]	Train Loss: 2.132285	Val Loss: 2.141792	Val Acc: 31
Train Epoch: 3 [42240/49000 (86%)]	Train Loss: 2.131615	Val Loss: 2.141489	Val Acc: 31
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 2.100153	Val Loss: 2.143387	Val Acc: 30
Train Epoch: 3 [44800/49000 (91%)]	Train Loss: 2.209241	Val Loss: 2.133991	Val Acc: 31
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 2.177515	Val Loss: 2.127007	Val Acc: 32
Train Epoch: 3 [47360/49000 (97%)]	Train Loss: 2.147808	Val Loss: 2.136887	Val Acc: 31
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 2.093917	Val Loss: 2.131216	Val Acc: 31
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 2.170825	Val Loss: 2.141797	Val Acc: 30
Train Epoch: 4 [1280/49000 (3%)]	Train Loss: 2.099489	Val Loss: 2.135755	Val Acc: 31
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 2.137750	Val Loss: 2.151927	Val Acc: 30
Train Epoch: 4 [3840/49000 (8%)]	Train Loss: 2.072085	Val Loss: 2.138342	Val Acc: 31
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 2.142917	Val Loss: 2.141491	Val Acc: 30
Train Epoch: 4 [6400/49000 (13%)]	Train Loss: 2.086718	Val Loss: 2.121134	Val Acc: 33
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 2.201802	Val Loss: 2.122037	Val Acc: 32
Train Epoch: 4 [8960/49000 (18%)]	Train Loss: 2.087157	Val Loss: 2.134475	Val Acc: 30
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 2.122845	Val Loss: 2.126539	Val Acc: 31
Train Epoch: 4 [11520/49000 (23%)]	Train Loss: 2.079695	Val Loss: 2.142206	Val Acc: 30
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 2.105132	Val Loss: 2.131057	Val Acc: 31
Train Epoch: 4 [14080/49000 (29%)]	Train Loss: 2.165422	Val Loss: 2.112834	Val Acc: 32
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 2.161605	Val Loss: 2.134017	Val Acc: 31
Train Epoch: 4 [16640/49000 (34%)]	Train Loss: 2.141629	Val Loss: 2.123527	Val Acc: 32
Train Epoch: 4 [17920/49000 (37%)]	Train Loss: 2.155722	Val Loss: 2.129877	Val Acc: 32
Train Epoch: 4 [19200/49000 (39%)]	Train Loss: 2.142099	Val Loss: 2.123168	Val Acc: 32
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 2.189070	Val Loss: 2.136191	Val Acc: 31
Train Epoch: 4 [21760/49000 (44%)]	Train Loss: 2.126045	Val Loss: 2.124366	Val Acc: 32
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 2.105109	Val Loss: 2.140501	Val Acc: 30
Train Epoch: 4 [24320/49000 (50%)]	Train Loss: 2.150574	Val Loss: 2.131197	Val Acc: 31
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 2.173371	Val Loss: 2.120611	Val Acc: 32
Train Epoch: 4 [26880/49000 (55%)]	Train Loss: 2.158869	Val Loss: 2.132975	Val Acc: 31
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 2.121968	Val Loss: 2.117064	Val Acc: 33
Train Epoch: 4 [29440/49000 (60%)]	Train Loss: 2.137384	Val Loss: 2.116807	Val Acc: 33
Train Epoch: 4 [30720/49000 (63%)]	Train Loss: 2.151636	Val Loss: 2.125396	Val Acc: 32
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 2.140793	Val Loss: 2.128372	Val Acc: 32
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 2.167565	Val Loss: 2.138366	Val Acc: 31
Train Epoch: 4 [34560/49000 (70%)]	Train Loss: 2.136198	Val Loss: 2.129065	Val Acc: 32
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 2.153289	Val Loss: 2.120431	Val Acc: 32
Train Epoch: 4 [37120/49000 (76%)]	Train Loss: 2.098221	Val Loss: 2.131640	Val Acc: 31
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 2.127291	Val Loss: 2.122540	Val Acc: 32
Train Epoch: 4 [39680/49000 (81%)]	Train Loss: 2.123793	Val Loss: 2.124130	Val Acc: 32
Train Epoch: 4 [40960/49000 (84%)]	Train Loss: 2.212374	Val Loss: 2.123281	Val Acc: 32
Train Epoch: 4 [42240/49000 (86%)]	Train Loss: 2.124254	Val Loss: 2.130836	Val Acc: 32
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 2.084698	Val Loss: 2.125889	Val Acc: 32
Train Epoch: 4 [44800/49000 (91%)]	Train Loss: 2.046963	Val Loss: 2.122470	Val Acc: 33
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 2.097275	Val Loss: 2.135135	Val Acc: 31
Train Epoch: 4 [47360/49000 (97%)]	Train Loss: 2.158432	Val Loss: 2.105414	Val Acc: 34
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 2.111433	Val Loss: 2.135372	Val Acc: 31
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 2.157616	Val Loss: 2.120861	Val Acc: 32
Train Epoch: 5 [1280/49000 (3%)]	Train Loss: 2.167110	Val Loss: 2.110350	Val Acc: 33
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 2.137609	Val Loss: 2.120081	Val Acc: 33
Train Epoch: 5 [3840/49000 (8%)]	Train Loss: 2.132254	Val Loss: 2.127692	Val Acc: 31
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 2.174385	Val Loss: 2.122089	Val Acc: 33
Train Epoch: 5 [6400/49000 (13%)]	Train Loss: 2.158542	Val Loss: 2.113751	Val Acc: 33
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 2.085949	Val Loss: 2.107797	Val Acc: 34
Train Epoch: 5 [8960/49000 (18%)]	Train Loss: 2.112663	Val Loss: 2.113133	Val Acc: 33
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 2.082375	Val Loss: 2.123989	Val Acc: 32
Train Epoch: 5 [11520/49000 (23%)]	Train Loss: 2.082870	Val Loss: 2.103659	Val Acc: 35
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 2.160299	Val Loss: 2.121348	Val Acc: 33
Train Epoch: 5 [14080/49000 (29%)]	Train Loss: 2.138542	Val Loss: 2.096510	Val Acc: 35
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 2.161325	Val Loss: 2.119357	Val Acc: 33
Train Epoch: 5 [16640/49000 (34%)]	Train Loss: 2.149619	Val Loss: 2.126611	Val Acc: 32
Train Epoch: 5 [17920/49000 (37%)]	Train Loss: 2.122988	Val Loss: 2.109807	Val Acc: 33
Train Epoch: 5 [19200/49000 (39%)]	Train Loss: 2.112084	Val Loss: 2.122527	Val Acc: 33
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 2.170031	Val Loss: 2.105700	Val Acc: 34
Train Epoch: 5 [21760/49000 (44%)]	Train Loss: 2.144433	Val Loss: 2.142408	Val Acc: 31
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 2.128851	Val Loss: 2.126357	Val Acc: 32
Train Epoch: 5 [24320/49000 (50%)]	Train Loss: 2.079580	Val Loss: 2.123832	Val Acc: 32
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 2.152158	Val Loss: 2.109462	Val Acc: 34
Train Epoch: 5 [26880/49000 (55%)]	Train Loss: 2.166156	Val Loss: 2.137298	Val Acc: 32
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 2.119994	Val Loss: 2.127059	Val Acc: 32
Train Epoch: 5 [29440/49000 (60%)]	Train Loss: 2.187803	Val Loss: 2.103022	Val Acc: 34
Train Epoch: 5 [30720/49000 (63%)]	Train Loss: 2.138041	Val Loss: 2.123152	Val Acc: 32
Train Epoch: 5 [32000/49000 (65%)]	Train Loss: 2.037735	Val Loss: 2.109729	Val Acc: 34
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 2.131572	Val Loss: 2.123558	Val Acc: 32
Train Epoch: 5 [34560/49000 (70%)]	Train Loss: 2.096119	Val Loss: 2.112954	Val Acc: 33
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 2.096395	Val Loss: 2.118550	Val Acc: 32
Train Epoch: 5 [37120/49000 (76%)]	Train Loss: 2.117210	Val Loss: 2.119847	Val Acc: 32
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 2.149574	Val Loss: 2.126799	Val Acc: 32
Train Epoch: 5 [39680/49000 (81%)]	Train Loss: 2.146988	Val Loss: 2.136690	Val Acc: 31
Train Epoch: 5 [40960/49000 (84%)]	Train Loss: 2.092974	Val Loss: 2.121556	Val Acc: 33
Train Epoch: 5 [42240/49000 (86%)]	Train Loss: 2.041426	Val Loss: 2.136565	Val Acc: 31
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 2.091748	Val Loss: 2.144997	Val Acc: 30
Train Epoch: 5 [44800/49000 (91%)]	Train Loss: 2.082952	Val Loss: 2.120808	Val Acc: 32
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 2.120476	Val Loss: 2.111975	Val Acc: 33
Train Epoch: 5 [47360/49000 (97%)]	Train Loss: 2.144868	Val Loss: 2.114913	Val Acc: 32
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 2.112752	Val Loss: 2.113918	Val Acc: 34
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 2.144487	Val Loss: 2.120634	Val Acc: 32
Train Epoch: 6 [1280/49000 (3%)]	Train Loss: 2.164883	Val Loss: 2.113287	Val Acc: 33
Train Epoch: 6 [2560/49000 (5%)]	Train Loss: 2.093180	Val Loss: 2.108406	Val Acc: 35
Train Epoch: 6 [3840/49000 (8%)]	Train Loss: 2.168192	Val Loss: 2.108355	Val Acc: 34
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 2.074361	Val Loss: 2.102416	Val Acc: 34
Train Epoch: 6 [6400/49000 (13%)]	Train Loss: 2.114341	Val Loss: 2.126628	Val Acc: 32
Train Epoch: 6 [7680/49000 (16%)]	Train Loss: 2.100892	Val Loss: 2.117670	Val Acc: 33
Train Epoch: 6 [8960/49000 (18%)]	Train Loss: 2.076226	Val Loss: 2.111227	Val Acc: 33
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 2.155250	Val Loss: 2.116214	Val Acc: 32
Train Epoch: 6 [11520/49000 (23%)]	Train Loss: 2.136680	Val Loss: 2.098246	Val Acc: 34
Train Epoch: 6 [12800/49000 (26%)]	Train Loss: 2.150315	Val Loss: 2.133866	Val Acc: 30
Train Epoch: 6 [14080/49000 (29%)]	Train Loss: 2.132650	Val Loss: 2.121601	Val Acc: 33
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 2.108514	Val Loss: 2.110831	Val Acc: 33
Train Epoch: 6 [16640/49000 (34%)]	Train Loss: 2.097564	Val Loss: 2.120945	Val Acc: 32
Train Epoch: 6 [17920/49000 (37%)]	Train Loss: 2.087682	Val Loss: 2.108389	Val Acc: 34
Train Epoch: 6 [19200/49000 (39%)]	Train Loss: 2.092538	Val Loss: 2.132438	Val Acc: 31
Train Epoch: 6 [20480/49000 (42%)]	Train Loss: 2.104952	Val Loss: 2.105809	Val Acc: 34
Train Epoch: 6 [21760/49000 (44%)]	Train Loss: 2.123154	Val Loss: 2.130319	Val Acc: 31
Train Epoch: 6 [23040/49000 (47%)]	Train Loss: 2.151329	Val Loss: 2.101994	Val Acc: 33
Train Epoch: 6 [24320/49000 (50%)]	Train Loss: 2.085285	Val Loss: 2.110738	Val Acc: 33
Train Epoch: 6 [25600/49000 (52%)]	Train Loss: 2.095180	Val Loss: 2.119189	Val Acc: 33
Train Epoch: 6 [26880/49000 (55%)]	Train Loss: 2.117419	Val Loss: 2.112959	Val Acc: 32
Train Epoch: 6 [28160/49000 (57%)]	Train Loss: 2.075104	Val Loss: 2.108111	Val Acc: 34
Train Epoch: 6 [29440/49000 (60%)]	Train Loss: 2.109738	Val Loss: 2.110934	Val Acc: 33
Train Epoch: 6 [30720/49000 (63%)]	Train Loss: 2.127276	Val Loss: 2.115041	Val Acc: 33
Train Epoch: 6 [32000/49000 (65%)]	Train Loss: 2.095557	Val Loss: 2.120757	Val Acc: 32
Train Epoch: 6 [33280/49000 (68%)]	Train Loss: 2.069597	Val Loss: 2.106609	Val Acc: 34
Train Epoch: 6 [34560/49000 (70%)]	Train Loss: 2.128324	Val Loss: 2.117997	Val Acc: 32
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 2.119639	Val Loss: 2.111909	Val Acc: 33
Train Epoch: 6 [37120/49000 (76%)]	Train Loss: 2.158411	Val Loss: 2.103696	Val Acc: 34
Train Epoch: 6 [38400/49000 (78%)]	Train Loss: 2.101953	Val Loss: 2.099290	Val Acc: 35
Train Epoch: 6 [39680/49000 (81%)]	Train Loss: 2.135661	Val Loss: 2.111641	Val Acc: 33
Train Epoch: 6 [40960/49000 (84%)]	Train Loss: 2.089024	Val Loss: 2.095980	Val Acc: 34
