Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Using GPU
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 3.909922	Val Loss: 3.035506	Val Acc: 14
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.488015	Val Loss: 2.401475	Val Acc: 30
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.256600	Val Loss: 2.175767	Val Acc: 33
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.096653	Val Loss: 1.895257	Val Acc: 38
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 1.888230	Val Loss: 1.754450	Val Acc: 42
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 1.851942	Val Loss: 1.698681	Val Acc: 43
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 1.828011	Val Loss: 1.675946	Val Acc: 43
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.718112	Val Loss: 1.639239	Val Acc: 43
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 1.659071	Val Loss: 1.619374	Val Acc: 45
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.583851	Val Loss: 1.620421	Val Acc: 45
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.609694	Val Loss: 1.585366	Val Acc: 48
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.576152	Val Loss: 1.595149	Val Acc: 45
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.424398	Val Loss: 1.584450	Val Acc: 45
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.527100	Val Loss: 1.545914	Val Acc: 45
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.453289	Val Loss: 1.551094	Val Acc: 45
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.481878	Val Loss: 1.514702	Val Acc: 46
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 1.467924	Val Loss: 1.533446	Val Acc: 47
